"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"1401" 2 0 -68.4166666666667 -9.25 248 122 79
"1411" 3 0 -44.25 -22.5833333333333 206 115 61
"142" 3 0 -52.4166666666667 -27.5833333333333 180 108 56
"143" 1 0 -75.25 -6.75 268 117 82
"1441" 1 0 -57.0833333333333 -27.9166666666667 220 119 51
"1451" 1 0 -42.25 -15.4166666666667 208 116 71
"146" 2 0 -50.9166666666667 -29.4166666666667 168 94 51
"147" 3 0 -56.25 -26.25 212 116 53
"148" 3 0 -47.5833333333333 -19.0833333333333 208 115 69
"149" 1 0 -51.9166666666667 -22.75 217 125 64
"150" 3 0 -53.0833333333333 -23.0833333333333 218 131 64
"151" 1 0 -55.25 -22.5833333333333 223 118 60
"152" 1 0 -43.5833333333333 -16.25 228 130 70
"1531" 2 0 -73.0833333333333 -10.9166666666667 259 116 80
"154" 2 0 -69.0833333333333 -12.0833333333333 250 112 70
"155" 3 0 -56.75 -25.75 220 109 53
"1561" 1 0 -41.75 -18.4166666666667 234 118 66
"157" 2 0 -50.75 -25.9166666666667 168 121 57
"158" 2 0 -56.4166666666667 -20.75 238 118 63
"159" 3 0 -71.0833333333333 -12.25 250 108 77
"160" 3 0 -69.25 -9.08333333333333 248 121 78
"161" 2 0 -75.4166666666667 -6.91666666666667 264 121 83
"162" 2 0 -40.9166666666667 -17.75 239 110 68
"163" 1 0 -44.75 -19.5833333333333 215 133 70
"164" 3 0 -49.0833333333333 -22.4166666666667 207 127 65
"165" 1 0 -43.0833333333333 -18.75 202 122 64
"166" 1 0 -67.5833333333333 -4.41666666666667 258 92 83
"167" 2 0 -57.5833333333333 -21.5833333333333 247 115 59
"168" 3 0 -43.0833333333333 -15.25 240 113 74
"169" 2 0 -52.9166666666667 -18.0833333333333 224 124 70
"170" 2 0 -51.75 -26.75 153 123 58
"171" 1 0 -55.9166666666667 -18.5833333333333 259 116 65
"172" 2 0 -49.0833333333333 -22.5833333333333 204 128 65
"173" 3 0 -66.0833333333333 -9.25 259 107 75
"174" 1 0 -58.0833333333333 -25.75 225 120 53
"175" 3 0 -67.5833333333333 -11.4166666666667 260 108 69
"1761" 1 0 -55.75 -31.5833333333333 180 121 48
"177" 1 0 -44.75 -16.9166666666667 228 142 68
"178" 2 0 -55.25 -25.0833333333333 217 114 54
"179" 3 0 -68.75 -6.08333333333333 255 104 83
"180" 3 0 -72.5833333333333 -7.58333333333333 254 98 74
"181" 1 0 -45.0833333333333 -18.25 222 130 69
"182" 1 0 -40.5833333333333 -20.25 214 95 62
"183" 1 0 -48.4166666666667 -23.4166666666667 198 117 62
"184" 3 0 -49.4166666666667 -20.75 227 127 68
"1851" 2 0 -60.4166666666667 -24.4166666666667 227 135 55
"186" 2 0 -41.75 -18.25 232 119 66
"187" 2 0 -69.4166666666667 -6.25 255 106 84
"188" 3 0 -71.4166666666667 -5.75 258 101 84
"189" 3 0 -71.0833333333333 -11.5833333333333 246 114 76
"1901" 1 0 -56.25 -28.0833333333333 212 119 51
"1911" 2 0 -68.25 -4.75 257 96 84
"1921" 2 0 -41.75 -17.5833333333333 218 122 68
"193" 2 0 -40.25 -16.75 225 101 68
"194" 3 0 -40.0833333333333 -20.0833333333333 246 82 60
"1951" 2 0 -49.25 -23.0833333333333 201 127 65
"196" 3 0 -72.0833333333333 -8.25 256 103 76
"197" 1 0 -69.0833333333333 -4.75 255 99 86
"1981" 1 0 -55.4166666666667 -26.0833333333333 205 128 56
"199" 1 0 -49.75 -18.4166666666667 243 125 69
"200" 2 0 -68.5833333333333 -4.41666666666667 255 95 84
"201" 2 0 -67.5833333333333 -6.41666666666667 258 102 81
"202" 3 0 -55.0833333333333 -31.4166666666667 179 120 50
"203" 3 0 -57.5833333333333 -27.25 223 114 50
"204" 2 0 -69.5833333333333 -4.91666666666667 256 102 86
"205" 3 0 -47.9166666666667 -23.0833333333333 203 115 62
"206" 2 0 -52.0833333333333 -25.4166666666667 180 120 59
"2071" 1 0 -70.75 -5.25 258 101 84
"208" 1 0 -45.0833333333333 -23.4166666666667 206 98 56
"209" 3 0 -40.0833333333333 -16.4166666666667 219 98 67
"210" 2 0 -71.5833333333333 -3.58333333333333 260 94 85
"211" 2 0 -52.9166666666667 -24.9166666666667 189 125 60
"212" 3 0 -57.0833333333333 -20.25 251 114 63
"213" 3 0 -59.4166666666667 -23.5833333333333 234 132 57
"214" 2 0 -55.25 -30.0833333333333 186 116 50
"215" 3 0 -58.9166666666667 -27.0833333333333 217 115 50
"216" 3 0 -46.4166666666667 -22.0833333333333 181 122 65
"217" 2 0 -48.9166666666667 -19.75 233 131 69
"218" 2 0 -56.5833333333333 -20.0833333333333 251 115 64
"219" 1 0 -54.75 -31.4166666666667 180 118 51
"220" 3 0 -69.5833333333333 -3.25 256 92 86
"221" 3 0 -48.9166666666667 -20.25 238 130 68
"222" 1 0 -68.9166666666667 -7.08333333333333 255 109 81
"223" 2 0 -73.5833333333333 -6.08333333333333 265 104 81
"224" 1 0 -69.75 -10.5833333333333 248 114 72
"225" 2 0 -58.4166666666667 -26.5833333333333 221 115 50
"226" 2 0 -68.9166666666667 -11.4166666666667 250 109 66
"227" 1 0 -57.9166666666667 -24.75 231 118 54
"228" 3 0 -52.75 -21.75 232 122 66
"229" 1 0 -39.9166666666667 -19.25 242 89 62
"230" 3 0 -42.5833333333333 -22.4166666666667 182 99 60
"231" 3 0 -41.4166666666667 -15.75 210 107 69
"232" 3 0 -49.4166666666667 -17.25 234 121 67
"233" 1 0 -52.9166666666667 -31.25 176 100 49
"234" 2 0 -70.4166666666667 -11.0833333333333 246 115 73
"235" 1 0 -41.75 -20.25 201 127 65
"236" 2 0 -69.75 -5.75 255 104 84
"237" 1 0 -68.9166666666667 -6.08333333333333 256 104 83
"238" 3 0 -50.25 -28.5833333333333 152 97 53
"239" 3 0 -55.5833333333333 -22.75 216 122 62
"240" 2 0 -68.5833333333333 -11.75 253 109 68
"241" 3 0 -54.75 -32.9166666666667 167 123 49
"242" 2 0 -75.9166666666667 -7.08333333333333 260 127 85
"243" 1 0 -41.9166666666667 -18.4166666666667 234 119 66
"244" 2 0 -55.25 -23.4166666666667 219 118 59
"245" 1 0 -73.25 -6.08333333333333 263 103 81
"246" 1 0 -59.75 -21.5833333333333 252 127 58
"247" 3 0 -70.75 -3.41666666666667 258 93 86
"248" 1 0 -48.4166666666667 -21.0833333333333 219 121 67
"249" 1 0 -72.9166666666667 -8.41666666666667 257 105 75
"250" 2 0 -49.75 -21.75 214 127 64
"251" 2 0 -51.75 -19.4166666666667 231 123 70
"252" 1 0 -56.4166666666667 -26.75 219 113 50
"253" 2 0 -51.9166666666667 -29.75 197 95 48
"254" 1 0 -54.9166666666667 -23.4166666666667 222 118 59
"255" 1 0 -44.4166666666667 -17.25 227 135 68
"256" 2 0 -57.0833333333333 -21.5833333333333 237 115 60
"257" 2 0 -52.5833333333333 -21.5833333333333 231 122 66
"258" 3 0 -51.25 -25.9166666666667 163 117 58
"259" 3 0 -60.25 -22.9166666666667 241 132 56
"260" 3 0 -42.4166666666667 -15.4166666666667 207 116 72
"261" 3 0 -39.5833333333333 -17.25 245 84 66
"262" 1 0 -55.25 -21.4166666666667 232 117 64
"263" 1 0 -58.0833333333333 -24.5833333333333 231 121 55
"264" 1 0 -48.5833333333333 -18.9166666666667 220 128 68
"265" 2 0 -54.5833333333333 -22.0833333333333 235 117 62
"266" 3 0 -53.25 -26.25 173 135 60
"267" 1 0 -71.75 -5.08333333333333 259 99 83
"268" 2 0 -41.75 -15.9166666666667 206 114 69
"269" 1 0 -48.75 -24.4166666666667 174 105 54
"270" 3 0 -52.5833333333333 -23.75 206 120 62
"271" 1 0 -71.0833333333333 -13.4166666666667 84 165 71
"272" 3 0 -45.5833333333333 -20.75 206 131 67
"273" 3 0 -48.0833333333333 -17.9166666666667 238 135 69
"274" 2 0 -74.25 -6.91666666666667 264 110 79
"275" 3 0 -50.4166666666667 -29.0833333333333 155 97 53
"276" 2 0 -56.9166666666667 -25.75 218 109 53
"277" 1 0 -71.75 -3.91666666666667 260 95 84
"278" 2 0 -70.25 -13.25 234 100 75
"279" 3 0 -70.25 -10.0833333333333 250 115 75
"280" 2 0 -69.9166666666667 -10.9166666666667 246 115 71
"281" 1 0 -43.25 -16.0833333333333 218 127 70
"282" 3 0 -72.25 -12.25 188 149 78
"283" 3 0 -49.9166666666667 -22.25 206 127 64
"284" 2 0 -47.4166666666667 -22.0833333333333 203 117 63
"285" 2 0 -48.4166666666667 -24.4166666666667 193 101 53
"286" 3 0 -69.0833333333333 -6.75 256 108 83
"287" 3 0 -73.0833333333333 -4.41666666666667 262 96 83
"288" 3 0 -59.25 -22.9166666666667 240 129 57
"289" 2 0 -52.25 -23.25 198 124 64
"290" 2 0 -51.9166666666667 -30.0833333333333 193 94 48
"291" 2 0 -71.9166666666667 -7.75 256 101 76
"292" 3 0 -53.0833333333333 -24.4166666666667 207 123 59
"293" 1 0 -49.9166666666667 -27.75 160 103 53
"294" 1 0 -50.4166666666667 -26.4166666666667 167 123 56
"295" 2 0 -55.0833333333333 -29.4166666666667 187 117 51
"296" 1 0 -65.5833333333333 -8.25 262 104 77
"297" 2 0 -73.25 -5.91666666666667 263 102 80
"298" 2 0 -50.0833333333333 -23.4166666666667 207 123 62
"299" 1 0 -51.4166666666667 -22.75 220 125 63
"300" 3 0 -66.25 -10.0833333333333 263 109 73
