"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3" "bio5"
"158" 2 0 -51.4166666666667 -15.4166666666667 258 119 70 335
"159" 3 0 -47.25 -23.4166666666667 184 106 60 264
"160" 3 0 -51.0833333333333 -27.4166666666667 159 113 55 259
"161" 2 0 -50.75 -17.0833333333333 235 115 69 310
"162" 2 0 -63.9166666666667 -9.08333333333333 260 104 72 329
"163" 1 0 -49.4166666666667 -14.9166666666667 247 101 69 318
"164" 3 0 -64.5833333333333 -12.75 262 122 71 348
"165" 1 0 -58.9166666666667 -14.0833333333333 225 137 72 308
"166" 1 0 -47.75 -20.5833333333333 220 111 67 287
"167" 2 0 -42.0833333333333 -8.08333333333333 269 136 77 355
"168" 3 0 -65.4166666666667 -12.25 265 118 71 347
"169" 2 0 -43.0833333333333 -10.75 252 138 80 332
"170" 2 0 -40.4166666666667 -2.75 278 109 81 348
"171" 1 0 -51.9166666666667 -20.5833333333333 243 121 67 318
"172" 2 0 -58.4166666666667 -13.4166666666667 236 138 70 321
"173" 3 0 -49.9166666666667 -11.4166666666667 273 119 73 351
"174" 1 0 -53.25 -6.91666666666666 247 125 77 329
"175" 3 0 -55.4166666666667 -20.5833333333333 240 119 67 319
"176" 1 0 -57.9166666666667 -7.91666666666666 262 116 65 349
"177" 1 0 -52.25 -17.25 232 124 71 310
"178" 2 0 -50.75 -14.4166666666667 263 115 70 339
"179" 3 0 -66.0833333333333 -17.5833333333333 154 164 67 260
"180" 3 0 -56.4166666666667 -31.5833333333333 177 122 47 316
"181" 1 0 -52.4166666666667 -22.75 218 126 64 304
"182" 1 0 -37.4166666666667 -9.41666666666666 240 89 64 310
"183" 1 0 -49.75 -13.25 264 114 71 341
"184" 3 0 -67.25 -15.25 237 108 68 308
"185" 2 0 -53.4166666666667 -23.5833333333333 209 131 63 306
"186" 2 0 -44.75 -11.5833333333333 245 152 69 347
"187" 2 0 -52.0833333333333 -15.25 253 131 69 335
"188" 3 0 -47.25 -17.9166666666667 224 117 71 295
"189" 3 0 -41.5833333333333 -21.9166666666667 232 96 57 312
"190" 1 0 -60.9166666666667 -11.5833333333333 233 129 69 323
"191" 2 0 -57.25 -29.25 203 115 48 329
"192" 2 0 -65.75 -14.9166666666667 249 112 62 325
"193" 2 0 -47.25 -11.25 249 126 71 337
"194" 3 0 -36.5833333333333 -6.41666666666666 257 97 78 324
"195" 2 0 -72.0833333333333 -12.9166666666667 123 156 75 217
"196" 3 0 -51.25 -11.0833333333333 273 124 75 350
"197" 1 0 -44.4166666666667 -6.25 263 110 72 341
"198" 1 0 -68.5833333333333 -1.91666666666666 255 89 86 307
"199" 1 0 -41.75 -12.75 204 121 72 285
"200" 2 0 -69.0833333333333 -4.58333333333333 255 98 85 312
"201" 2 0 -42.0833333333333 -12.25 206 125 71 290
"202" 3 0 -52.75 -30.4166666666667 186 95 48 291
"203" 3 0 -51.9166666666667 -19.9166666666667 239 123 69 317
"204" 2 0 -45.75 -18.25 226 127 71 304
"205" 3 0 -39.0833333333333 -14.4166666666667 241 63 64 289
"206" 2 0 -40.75 -13.5833333333333 231 98 72 296
"207" 1 0 -54.9166666666667 -9.91666666666666 253 144 69 361
"208" 1 0 -70.75 -15.0833333333333 25 185 68 138
"209" 3 0 -65.9166666666667 -2.58333333333333 258 94 87 313
"210" 2 0 -65.9166666666667 -3.58333333333333 262 91 85 317
