FID;ID_UC0;NOME_UC1;ID_WCMC2;CATEGORI3;GRUPO4;ESFERA5;ANO_CRIA6;GID7;QUALIDAD8;ATO_LEGA9;DT_ULTIM10;CODIGO_U11;NOME_ORG12;POINT_X;POINT_Y
282;1711;APA REPRESA BAIRRO DA USINA; ;Área de Proteção Ambiental;US;estadual;1986;4606;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 5280 de 04/09/1986;18/09/2015;0000.35.1711;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-46.635893;-23.090223
283;1702;APA ILHA COMPRIDA; ;Área de Proteção Ambiental;US;estadual;1987;4558;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 26881 de 11/03/1987;15/09/2015;0000.35.1702;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-47.718826;-24.861001
284;994;ÁREA DE PROTEÇÃO AMBIENTAL MARGEM DIREITA DO RIO NEGRO- SETOR PADUARI-SOLIMÕES;352147;Área de Proteção Ambiental;US;estadual;1995;3903;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 16.498 de 06/04/1995;17/08/2012;0000.13.0994;Secretaria de Estado do Meio Ambiente do Amazonas;-60.931123;-2.764537
285;1890;ÁREA DE PROTEçãO AMBIENTAL DO ITAPIRACó; ;Área de Proteção Ambiental;US;estadual;1997;4444;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 15.618 de 26/06/1997;04/03/2011;0000.21.1890;Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhão;-44.203592;-2.524904
286;1494;ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE PEIXE/ANGICAL; ;Área de Proteção Ambiental;US;estadual;2002;1713;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 1.444 de 20/03/2002;24/07/2007;0000.17.1494;Instituto Natureza do Tocantins;-48.207140;-12.468751
287;1972;APA CORUMBATAÍ BOTUCATU TEJUPA PERIMETRO BOTUCATU; ;Área de Proteção Ambiental;US;estadual;1983;4538;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 20960 de 08/06/1983;15/09/2015;0000.35.1972;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.479021;-23.131154
288;950;ÁREA DE PROTEÇÃO AMBIENTAL DO PECEM; ;Área de Proteção Ambiental;US;estadual;1998;1914;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 24.957 de 08/06/1998;16/11/2010;0000.23.0950;Secretaria do Meio Ambiente do Ceará;-38.825688;-3.554607
289;490;ÁREA DE PROTEÇÃO AMBIENTAL DE TAMBABA; ;Área de Proteção Ambiental;US;estadual;2002;5667;Esquemático (O poligono é uma representação esquemática da dimensão da unidade).;Decreto nº 22882 de 26/03/2002;31/03/2014;0000.25.0490;Superintendência de Administração do Meio Ambiente da Paraíba;-34.813889;-7.313148
290;1705;APA MATA DO IGUATEMÍ; ;Área de Proteção Ambiental;US;estadual;1993;4599;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 8284 de 02/04/1993;09/11/2017;0000.35.1705;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-46.418628;-23.573064
291;1707;APA PARQUE E FAZENDA DO CARMO; ;Área de Proteção Ambiental;US;estadual;1989;4565;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 6409 de 05/04/1989;15/02/2018;0000.35.1707;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-46.464203;-23.582800
292;1928;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE; ;Área de Proteção Ambiental;US;estadual;2010;4145;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 34.692 de 17/03/2010;19/01/2016;0000.26.1928;Agência Estadual do Meio Ambiente de Pernambuco;-35.022658;-7.892715
293;1712;APA RIO BATALHA; ;Área de Proteção Ambiental;US;estadual;2001;4608;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 10773 de 01/03/2001;18/09/2015;0000.35.1712;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-49.254320;-22.126422
294;962;ÁREA DE PROTEÇÃO AMBIENTAL DA LAGOA DA JIJOCA;352184;Área de Proteção Ambiental;US;estadual;2000;4346;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 25.975 de 10/08/2000;15/02/2016;0000.23.0962;Secretaria do Meio Ambiente do Ceará;-40.438404;-2.873855
295;328;ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE CAMAMU;351864;Área de Proteção Ambiental;US;estadual;2002;1991;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 8175 de 28/02/2002;13/11/2014;0000.29.0328;Secretaria do Meio Ambiente da Bahia;-39.086814;-14.111748
296;478;ÁREA DE PROTEÇÃO AMBIENTAL DO SALTO MAGESSI;351895;Área de Proteção Ambiental;US;estadual;2002;3795;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei complementar nº 7.871 de 20/12/2002;06/05/2010;0000.51.0478;Secretaria de Estado do Meio Ambiente de Mato Grosso;-55.262411;-13.586940
297;724;ÁREA DE PROTEÇÃO AMBIENTAL DO PAU BRASIL;352119;Área de Proteção Ambiental;US;estadual;2002;3286;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 31.346 de 06/06/2002;01/08/2012;0000.33.0724;Instituto Estadual do Ambiente do Rio de Janeiro;-41.950918;-22.846913
298;997;ÁREA DE PROTEÇÃO AMBIENTAL NHAMUNDÁ;33524;Área de Proteção Ambiental;US;estadual;1990;3535;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 12836 de 09/03/1990;15/02/2016;0000.13.0997;Secretaria de Estado do Meio Ambiente do Amazonas;-56.671636;-2.372406
299;1715;APA SAPUCAí MIRIM; ;Área de Proteção Ambiental;US;estadual;1998;4610;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 43285 de 03/07/1998;18/09/2015;0000.35.1715;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-45.690237;-22.733414
300;498;ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA;351879;Área de Proteção Ambiental;US;estadual;1992;2127;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 1.231 de 30/03/1992;18/03/2016;0000.41.0498;Instituto Ambiental do Paraná;-49.931301;-24.727989
301;967;ÁREA DE PROTEÇÃO AMBIENTAL DE GUADALUPE; ;Área de Proteção Ambiental;US;estadual;1997;11973;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 19635 de 13/03/1997;30/11/2015;0000.26.0967;Agência Estadual do Meio Ambiente de Pernambuco;-35.127753;-8.706657
302;1720;APA VáRZEA DO RIO TIETê; ;Área de Proteção Ambiental;US;estadual;1987;4571;Esquemático (O poligono é uma representação esquemática da dimensão da unidade).;Lei ordinária nº 5598 de 06/01/1987;17/10/2017;0000.35.1720;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-46.373390;-23.511925
303;501;ÁREA DE PROTEÇÃO AMBIENTAL DO IRAÍ; ;Área de Proteção Ambiental;US;estadual;1996;2149;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 1.753 de 06/05/1996;18/03/2016;0000.41.0501;Instituto Ambiental do Paraná;-49.079236;-25.386391
304;1717;APA SILVEIRAS; ;Área de Proteção Ambiental;US;estadual;1984;4612;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 4100 de 20/06/1984;17/10/2017;0000.35.1717;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-44.840256;-22.733797
305;1514;ÁREA DE PROTEçãO AMBIENTAL DE MASSAMBABA; ;Área de Proteção Ambiental;US;estadual;1986;7776;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 9529 de 16/12/1986;01/03/2013;0000.33.1514;Instituto Estadual do Ambiente do Rio de Janeiro;-42.346144;-22.918451
306;1771;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA HIDROGRÁFICA DO RIO MACHADO; ;Área de Proteção Ambiental;US;estadual;1999;3141;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 13373 de 01/12/1999;08/09/2009;0000.31.1771;Instituto Estadual de Florestas de Minas Gerais;-45.957465;-21.722662
307;1696;APA CAJAMAR; ;Área de Proteção Ambiental;US;estadual;1984;2947;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 4055 de 05/06/1984;17/10/2017;0000.35.1696;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-46.871242;-23.350877
308;1755;ÁREA DE PROTEÇÃO AMBIENTAL DO ENCANTADO; ;Área de Proteção Ambiental;US;estadual;2003;2992;Esquemático (O poligono é uma representação esquemática da dimensão da unidade).;Lei ordinária nº 14.386 de 13/01/2003;06/08/2009;0000.52.1755;Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás;-52.619489;-16.315518
309;1027;ÁREA DE PROTEÇÃO AMBIENTAL DA ILHA DO COMBU; ;Área de Proteção Ambiental;US;estadual;1997;1801;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 6.083 de 17/11/1997;25/02/2016;0000.15.1027;Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará;-48.463748;-1.503377
310;1493;ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SANTA ISABEL;351904;Área de Proteção Ambiental;US;estadual;2002;1714;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 1.558 de 06/09/2002;24/07/2007;0000.17.1493;Instituto Natureza do Tocantins;-48.425892;-6.311752
311;1929;ÁREA DE PROTEÇÃO AMBIENTAL DE SANTA CRUZ; ;Área de Proteção Ambiental;US;estadual;2008;12074;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 32.488 de 17/10/2008;19/01/2016;0000.26.1929;Agência Estadual do Meio Ambiente de Pernambuco;-34.848084;-7.700543
312;959;ÁREA DE PROTEÇÃO AMBIENTAL DO RIO PACOTI;352193;Área de Proteção Ambiental;US;estadual;2000;1847;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 25778 de 17/02/2000;15/02/2016;0000.23.0959;Secretaria do Meio Ambiente do Ceará;-38.406191;-3.851888
313;921;ÁREA DE PROTEÇÃO AMBIENTAL DA MARITUBA DO PEIXE; ;Área de Proteção Ambiental;US;estadual;1988;1735;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 35858 de 07/03/1988;03/10/2011;0000.27.0921;Instituto do Meio Ambiente de Alagoas;-36.408840;-10.336660
314;893;ÁREA DE PROTEÇÃO AMBIENTAL FAZENDA CAPITÃO EDUARDO; ;Área de Proteção Ambiental;US;estadual;2001;9768;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 13958 de 27/07/2001;25/06/2014;0000.31.0893;Instituto Estadual de Florestas de Minas Gerais;-43.877389;-19.828644
315;317;ÁREA DE PROTEÇÃO AMBIENTAL DUNAS E VEREDAS DO BAIXO MÉDIO SÃO FRANCISCO; ;Área de Proteção Ambiental;US;estadual;1997;4410;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 6547 de 20/07/1997;19/07/2012;0000.29.0317;Secretaria do Meio Ambiente da Bahia;-43.026349;-10.459640
316;993;ÁREA DE PROTEÇÃO AMBIENTAL DE PRESIDENTE FIGUEIREDO - CAVERNA DO MOROAGA;33522;Área de Proteção Ambiental;US;estadual;1990;3910;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 12836 de 09/03/1990;28/05/2010;0000.13.0993;Secretaria de Estado do Meio Ambiente do Amazonas;-59.865592;-1.845246
317;1709;APA PLANALTO DO TURVO; ;Área de Proteção Ambiental;US;estadual;2008;4575;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 12810 de 21/02/2008;17/09/2015;0000.35.1709;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.310214;-24.919833
318;726;ÁREA DE PROTEÇÃO AMBIENTAL DE MANGARATIBA;19479;Área de Proteção Ambiental;US;estadual;1987;3285;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 9.802 de 12/03/1987;01/08/2012;0000.33.0726;Instituto Estadual do Ambiente do Rio de Janeiro;-44.062817;-22.940229
319;954;ÁREA DE PROTEÇÃO AMBIENTAL DA BICA DO IPÚ;352183;Área de Proteção Ambiental;US;estadual;1999;1907;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 25.354 de 27/01/1999;29/04/2016;0000.23.0954;Secretaria do Meio Ambiente do Ceará;-40.734888;-4.288234
320;1029;ÁREA DE PROTEÇÃO AMBIENTAL DO LAGO DE TUCURUI; ;Área de Proteção Ambiental;US;estadual;2002;1809;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 6.451 de 11/04/2002;19/02/2016;0000.15.1029;Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará;-49.593026;-4.286575
321;399;ÁREA DE PROTEÇÃO AMBIENTAL CACHOEIRA DAS ANDORINHAS;33562;Área de Proteção Ambiental;US;estadual;1989;3059;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 30264 de 17/10/1989;12/03/2013;0000.31.0399;Instituto Estadual de Florestas de Minas Gerais;-43.566098;-20.304288
322;1710;APA QUILOMBOS DO MéDIO RIBEIRA; ;Área de Proteção Ambiental;US;estadual;2008;7139;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 12810 de 21/02/2008;17/10/2017;0000.35.1710;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.447841;-24.552615
323;975;ÁREA DE PROTEÇÃO AMBIENTAL DE SIRINHAÉM; ;Área de Proteção Ambiental;US;estadual;1998;5009;Esquemático (O poligono é uma representação esquemática da dimensão da unidade).;Decreto nº 21229 de 28/12/1998;29/04/2011;0000.26.0975;Agência Estadual do Meio Ambiente de Pernambuco;-35.151501;-8.615289
324;1025;ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO METROLPOLITANA DE BELÉM; ;Área de Proteção Ambiental;US;estadual;1993;12191;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 1.551 de 04/05/1993;23/02/2016;0000.15.1025;Instituto de Desenvolvimento Florestal e da Biodiversidade do Pará;-48.397502;-1.432737
325;1837;ÁREA DE PROTEçãO AMBIENTAL DE SEPETIBA II; ;Área de Proteção Ambiental;US;estadual;2004;5208;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 36812 de 28/12/2004;02/08/2012;0000.33.1837;Instituto Estadual do Ambiente do Rio de Janeiro;-43.664448;-22.967554
326;307;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO BARBADO;351851;Área de Proteção Ambiental;US;estadual;1993;2023;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 2.183 de 08/06/1993;23/07/2012;0000.29.0307;Secretaria do Meio Ambiente da Bahia;-41.884201;-13.340225
327;1499;Área de Proteção Ambiental Jalapão; ;Área de Proteção Ambiental;US;estadual;2000;1718;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 1.172 de 08/08/2000;27/07/2007;0000.17.1499;Instituto Natureza do Tocantins;-46.511635;-10.465979
328;1896;ÁREA DE PROTEÇÃO AMBIENTAL NASCENTES DO RIO PARAGUAI; ;Área de Proteção Ambiental;US;estadual;2006;3797;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 7.596 de 17/05/2006;06/05/2010;0000.51.1896;Secretaria de Estado do Meio Ambiente de Mato Grosso;-56.465785;-14.588860
329;306;ÁREA DE PROTEÇÃO AMBIENTAL PONTA DA BALEIA / ABROLHOS;115433;Área de Proteção Ambiental;US;estadual;1993;2042;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 2.218 de 15/06/1993;23/07/2012;0000.29.0306;Secretaria do Meio Ambiente da Bahia;-39.042749;-17.822179
330;902;ÁREA DE PROTEÇÃO AMBIENTAL DO CARIRI; ;Área de Proteção Ambiental;US;estadual;2004;5665;Esquemático (O poligono é uma representação esquemática da dimensão da unidade).;Decreto nº 25083 de 08/06/2004;30/08/2012;0000.25.0902;Superintendência de Administração do Meio Ambiente da Paraíba;-36.350000;-7.366852
331;1636;APA DO LAGO PARANOÁ; ;Área de Proteção Ambiental;US;estadual;1989;2613;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 12.055 de 15/12/1989;18/08/2017;0000.53.1636;Instituto do Meio Ambiente e dos Recursos Hídricos do Distrito Federal - Brasília Ambiental - DF;-47.836464;-15.771300
332;302;ÁREA DE PROTEÇÃO AMBIENTAL PLATAFORMA CONTINENTAL DO LITORAL NORTE;351868;Área de Proteção Ambiental;US;estadual;2003;2040;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 8.553 de 06/06/2003;19/07/2012;0000.29.0302;Secretaria do Meio Ambiente da Bahia;-37.655959;-12.150034
333;1750;ÁREA DE PROTEÇÃO AMBIENTAL DOS PIRENEUS; ;Área de Proteção Ambiental;US;estadual;2000;2979;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 5.174 de 22/02/2000;06/08/2009;0000.52.1750;Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás;-48.871104;-15.805009
334;1700;APA CORUMBATAí, BOTUCATU E TEJUPá PERIMETRO CORUMBATAí; ;Área de Proteção Ambiental;US;estadual;1983;4536;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 20960 de 08/06/1983;13/07/2016;0000.35.1700;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-47.976704;-22.385446
335;1695;APA CABREUVA; ;Área de Proteção Ambiental;US;estadual;1984;4532;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 4023 de 22/05/1984;17/10/2017;0000.35.1695;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-47.109773;-23.273559
336;1698;APA CAMPOS DO JORDÃO; ;Área de Proteção Ambiental;US;estadual;1984;4528;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 4105 de 26/06/1984;18/10/2017;0000.35.1698;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-45.532545;-22.701223
337;502;ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DO PIRAQUARA; ;Área de Proteção Ambiental;US;estadual;1996;2153;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 1.754 de 06/05/1996;18/03/2016;0000.41.0502;Instituto Ambiental do Paraná;-49.033706;-25.503034
338;1492;ÁREA DE PROTEÇÃO AMBIENTAL LAGO DE SÃO SALVADOR DO TOCANTINS, PARANÃ E PALMEIRÓPOLIS; ;Área de Proteção Ambiental;US;estadual;2002;1715;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 1.559 de 06/09/2002;23/07/2007;0000.17.1492;Instituto Natureza do Tocantins;-48.174950;-12.981397
339;305;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO DE JANEIRO;351866;Área de Proteção Ambiental;US;estadual;1993;4858;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 2.185 de 07/11/1993;10/11/2016;0000.29.0305;Secretaria do Meio Ambiente da Bahia;-45.840846;-11.900008
340;506;ÁREA DE PROTEÇÃO AMBIENTAL DO RIO VERDE;351894;Área de Proteção Ambiental;US;estadual;2000;2124;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 2.375 de 31/07/2000;18/03/2016;0000.41.0506;Instituto Ambiental do Paraná;-49.470394;-25.462525
341;301;ÁREA DE PROTEÇÃO AMBIENTAL CAMINHOS ECOLÓGICOS DA BOA ESPERANÇA;351871;Área de Proteção Ambiental;US;estadual;2003;13354;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 8.552 de 06/06/2003;19/05/2017;0000.29.0301;Secretaria do Meio Ambiente da Bahia;-39.374629;-13.538140
342;1719;APA TIETê; ;Área de Proteção Ambiental;US;estadual;1983;4569;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 20959 de 08/06/1983;17/10/2017;0000.35.1719;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-47.716984;-23.054850
343;334;ÁREA DE PROTEÇÃO AMBIENTAL DO PICO DO GOIAPABA-AÇU;351886;Área de Proteção Ambiental;US;estadual;1994;3376;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 3.796-N de 28/12/1994;27/10/2011;0000.32.0334;Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo;-40.467053;-19.903452
344;405;ÁREA DE PROTEÇÃO AMBIENTAL ÁGUAS VERTENTES;351876;Área de Proteção Ambiental;US;estadual;1998;3062;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 39399 de 22/01/1998;29/08/2012;0000.31.0405;Instituto Estadual de Florestas de Minas Gerais;-43.368547;-18.379747
345;1701;APA IBITINGA; ;Área de Proteção Ambiental;US;estadual;1987;4597;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Lei ordinária nº 5536 de 20/01/1987;15/02/2018;0000.35.1701;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-48.843663;-21.788586
346;1885;ÁREA DE PROTEçãO AMBIENTAL DAS REENTRâNCIAS MARANHENSES; ;Área de Proteção Ambiental;US;estadual;1991;4438;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 11.901 de 11/06/1991;03/03/2011;0000.21.1885;Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhão;-44.894910;-1.596388
347;335;ÁREA DE PROTEÇÃO AMBIENTAL DE PRAIA MOLE;351888;Área de Proteção Ambiental;US;estadual;1994;3374;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 3802-N de 30/12/1994;17/06/2016;0000.32.0335;Instituto Estadual de Meio Ambiente e Recursos Hídricos do Espírito Santo;-40.222379;-20.226456
348;1751;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA JIBÓIA; ;Área de Proteção Ambiental;US;estadual;2000;2980;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 5.175 de 03/03/2000;06/08/2009;0000.52.1751;Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás;-49.776996;-16.657661
349;461;ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DOS GUIMARÃES;351878;Área de Proteção Ambiental;US;estadual;1995;3791;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 0537 de 21/11/1995;28/11/2013;0000.51.0461;Secretaria de Estado do Meio Ambiente de Mato Grosso;-55.728937;-15.402634
350;310;ÁREA DE PROTEÇÃO AMBIENTAL CARAÍVA/ TRANCOSO;351863;Área de Proteção Ambiental;US;estadual;1993;2018;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 2.215 de 15/06/1993;23/07/2012;0000.29.0310;Secretaria do Meio Ambiente da Bahia;-39.141498;-16.723022
351;293;ÁREA DE PROTEÇÃO AMBIENTAL DO RIO CURIAÚ; ;Área de Proteção Ambiental;US;estadual;1998;1702;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 0431 de 15/09/1998;27/08/2007;0000.16.0293;Secretaria de Estado do Meio Ambiente do Amapá;-51.047819;0.164517
352;1973;APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPá; ;Área de Proteção Ambiental;US;estadual;1983;4540;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 20960 de 08/06/1983;17/10/2017;0000.35.1973;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-49.482638;-23.412210
353;1578;ÁREA DE PROTEÇÃO AMBIENTAL RIO CÊNICO ROTAS MONÇOEIRAS; ;Área de Proteção Ambiental;US;estadual;2000;2227;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 9934 de 06/06/2000;23/09/2016;0000.50.1578;Instituto de Meio Ambiente do Mato Grosso do Sul;-54.334483;-19.043067
354;1889;ÁREA DE PROTEçãO AMBIENTAL DA FOZ DO RIO DAS PREGUIçAS - PEQUENOS LENçóIS - REGIãO LAGUNAR ADJACENTE; ;Área de Proteção Ambiental;US;estadual;1991;4450;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 11.899 de 09/10/1991;04/03/2011;0000.21.1889;Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhão;-42.302412;-2.778142
355;1472;ÁREA DE PROTEÇÃO AMBIENTAL PIQUIRI-UNA; ;Área de Proteção Ambiental;US;estadual;1990;12613;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 10.683 de 06/06/1990;28/06/2007;0000.24.1472;Instituto de Desenvolvimento Sustentável e Meio Ambiente do Rio Grande do Norte;-35.247222;-6.371713
356;361;ÁREA DE PROTEÇÃO AMBIENTAL SERRA SÃO JOSÉ;351912;Área de Proteção Ambiental;US;estadual;1990;3067;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 30934 de 16/02/1990;05/10/2011;0000.31.0361;Instituto Estadual de Florestas de Minas Gerais;-44.160308;-21.080700
357;1753;ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DAS GALÉS E DA PORTARIA; ;Área de Proteção Ambiental;US;estadual;2002;2982;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 5.573 de 22/03/2002;06/08/2009;0000.52.1753;Secretaria Estadual do Meio Ambiente e dos Recursos Hídricos de Goiás;-50.634589;-16.993939
358;1724;APA MARINHA DO LITORAL SUL; ;Área de Proteção Ambiental;US;estadual;2008;7811;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 53.527 de 09/10/2008;22/09/2015;0000.35.1724;Fundação para Conservação e a Produção Florestal do Estado de São Paulo;-47.570614;-24.969443
359;1927;ÁREA DE PROTEÇÃO AMBIENTAL - BAIXO RIO BRANCO; ;Área de Proteção Ambiental;US;estadual;2006;4125;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Lei ordinária nº 555 de 18/07/2006;22/09/2011;0000.14.1927;Fundação Estadual do Meio Ambiente e Recursos Hídricos de Roraima;-61.437767;-0.082662
360;2612;ÁREA DE PROTEÇÃO AMBIENTAL DO ALTO DO MUCURI; ;Área de Proteção Ambiental;US;estadual;2011;6618;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 45.877 de 30/12/2011;29/08/2012;0000.31.2612;Instituto Estadual de Florestas de Minas Gerais;-41.676523;-17.589113
361;729;ÁREA DE PROTEÇÃO AMBIENTAL DE MARICÁ;19480;Área de Proteção Ambiental;US;estadual;1984;3299;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 7.230 de 24/04/1984;07/03/2014;0000.33.0729;Instituto Estadual do Ambiente do Rio de Janeiro;-42.865825;-22.958895
362;1893;ÁREA DE PROTEçãO AMBIENTAL DA REGIãO DO MARACANã; ;Área de Proteção Ambiental;US;estadual;1991;4446;Aproximado (O poligono representa uma estimativa dos limites da unidade).;Decreto nº 12.103 de 01/10/1991;03/03/2011;0000.21.1893;Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhão;-44.283013;-2.630406
