FID;ID_UC0;NOME_UC1;ID_WCMC2;CATEGORI3;GRUPO4;ESFERA5;ANO_CRIA6;GID7;QUALIDAD8;ATO_LEGA9;DT_ULTIM10;CODIGO_U11;NOME_ORG12;POINT_X;POINT_Y
876;2071;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOM SOSSEGO II; ;Reserva Particular do Patrimônio Natural;US;federal;2008;9049;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 26 de 07/05/2008;26/08/2011;0000.00.2071;Instituto Chico Mendes de Conservação da Biodiversidade;-39.105562;-16.366512
877;1521;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL; ;Área de Proteção Ambiental;US;federal;1982;2282;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 87561 de 13/09/1982;23/04/2010;0000.00.1521;Instituto Chico Mendes de Conservação da Biodiversidade;-45.652208;-23.106429
878;2199;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RIO DO BRASIL IV; ;Reserva Particular do Patrimônio Natural;US;federal;2008;9305;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 89 de 21/11/2008;26/08/2011;0000.00.2199;Instituto Chico Mendes de Conservação da Biodiversidade;-39.118248;-16.532230
879;105;FLORESTA NACIONAL DE RITÁPOLIS;220241;Floresta;US;federal;1999;155;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 21/09/1999;26/09/2007;0000.00.0105;Instituto Chico Mendes de Conservação da Biodiversidade;-44.278037;-21.052723
880;2087;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CURIÓ; ;Reserva Particular do Patrimônio Natural;US;federal;2011;9065;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 31 de 17/05/2011;26/08/2011;0000.00.2087;Instituto Chico Mendes de Conservação da Biodiversidade;-38.452547;-12.515776
881;166;PARQUE NACIONAL DE SETE CIDADES;73;Parque;PI;federal;1961;251;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 50744 de 05/06/1961;29/11/2007;0000.00.0166;Instituto Chico Mendes de Conservação da Biodiversidade;-41.712020;-4.100374
882;250;RESERVA EXTRATIVISTA MARINHA TRACUATEUA;351797;Reserva Extrativista;US;federal;2005;1771;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 23/05/2005;12/03/2010;0000.00.0250;Instituto Chico Mendes de Conservação da Biodiversidade;-46.884367;-0.844161
883;95;FLORESTA NACIONAL DE ITAITUBA I;198362;Floresta;US;federal;1998;7628;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 2481 de 03/02/1998;26/09/2007;0000.00.0095;Instituto Chico Mendes de Conservação da Biodiversidade;-56.535282;-5.422135
884;179;PARQUE NACIONAL VIRUÁ;198281;Parque;PI;federal;1998;271;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 29/04/1998;11/02/2016;0000.00.0179;Instituto Chico Mendes de Conservação da Biodiversidade;-61.152073;1.291159
885;154;PARQUE NACIONAL DA TIJUCA;74;Parque;PI;federal;1961;5305;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 50923 de 06/07/1961;23/04/2010;0000.00.0154;Instituto Chico Mendes de Conservação da Biodiversidade;-43.271051;-22.949405
886;2210;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SANTUÁRIO RÃ-BUGIO I; ;Reserva Particular do Patrimônio Natural;US;federal;2008;9757;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 2 de 06/02/2008;26/08/2011;0000.00.2210;Instituto Chico Mendes de Conservação da Biodiversidade;-48.959228;-26.437320
887;2093;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DA UNISC; ;Reserva Particular do Patrimônio Natural;US;federal;2009;10032;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 16 de 19/03/2009;26/08/2011;0000.00.2093;Instituto Chico Mendes de Conservação da Biodiversidade;-52.540188;-29.392394
888;3071;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NATURA MATER; ;Reserva Particular do Patrimônio Natural;US;federal;2014;10623;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 24 de 07/03/2014;01/08/2014;0000.00.3071;Instituto Chico Mendes de Conservação da Biodiversidade;-41.888656;-13.531508
889;2075;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BURACO DAS ARARAS; ;Reserva Particular do Patrimônio Natural;US;federal;2007;10193;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 31 de 12/04/2007;26/08/2011;0000.00.2075;Instituto Chico Mendes de Conservação da Biodiversidade;-56.399668;-21.492996
890;239;RESERVA EXTRATIVISTA DO RIO JUTAÍ;351773;Reserva Extrativista;US;federal;2002;1475;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº s/n de 17/07/2002;08/01/2016;0000.00.0239;Instituto Chico Mendes de Conservação da Biodiversidade;-67.326805;-3.506107
891;243;RESERVA EXTRATIVISTA MAE GRANDE DE CURUÇA;351782;Reserva Extrativista;US;federal;2002;1776;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº S/N de 16/12/2002;12/02/2016;0000.00.0243;Instituto Chico Mendes de Conservação da Biodiversidade;-47.866304;-0.638141
892;3073;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL AVE NATURA; ;Reserva Particular do Patrimônio Natural;US;federal;2014;10627;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Portaria nº 71 de 30/06/2014;01/08/2014;0000.00.3073;Instituto Chico Mendes de Conservação da Biodiversidade;-41.896782;-13.539730
893;3644;MONUMENTO NATURAL DO ARQUIPéLAGO DE SãO PEDRO E SãO PAULO; ;Monumento Natural;PI;federal;2018;14379;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 9313 de 20/03/2018;02/04/2018;0000.00.3644;Instituto Chico Mendes de Conservação da Biodiversidade;-29.491650;-0.213796
894;76;ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS;351751;Estação Ecológica;PI;federal;2001;1427;Correto (O poligono corresponde ao memorial descritivo do ato legal de criação).;Decreto nº 0001 de 28/09/2001;02/04/2018;0000.00.0076;Instituto Chico Mendes de Conservação da Biodiversidade;-46.692114;-10.856473
