FID;NOME;GEOCODIGO;POINT_X;POINT_Y;NOMEUF;SIGLAUF
3376;Ituberá;2917300;-39.147155;-13.750476;BAHIA;BA
3377;Formoso;5208103;-48.867793;-13.722638;GOIAS;GO
3378;Mutunópolis;5214101;-49.303396;-13.718829;GOIAS;GO
3379;Campo Novo do Parecis;5102637;-57.930956;-13.689144;MATO GROSSO;MT
3380;Teresina de Goiás;5221080;-47.237536;-13.682488;GOIAS;GO
3381;Paranatinga;5106307;-54.109463;-13.677147;MATO GROSSO;MT
3382;Nilo Peçanha;2922607;-39.181331;-13.658660;BAHIA;BA
3383;Barra da Estiva;2902807;-41.139815;-13.647719;BAHIA;BA
3384;Cavalcante;5205307;-47.696037;-13.635097;GOIAS;GO
3385;Riacho de Santana;2926400;-43.049609;-13.633200;BAHIA;BA
3386;Wenceslau Guimarães;2933505;-39.626771;-13.630549;BAHIA;BA
3387;Nova Mutum;5106224;-56.104660;-13.630487;MATO GROSSO;MT
3388;Lafaiete Coutinho;2918704;-40.273086;-13.627139;BAHIA;BA
3389;Rio de Contas;2926707;-41.741571;-13.586451;BAHIA;BA
3390;Campos de Júlio;5102686;-59.193017;-13.579636;MATO GROSSO;MT
3391;Taperoá;2931202;-39.221570;-13.578833;BAHIA;BA
3392;Santa Tereza de Goiás;5219605;-48.981828;-13.572079;GOIAS;GO
3393;Bonópolis;5203575;-49.863266;-13.571347;GOIAS;GO
3394;Teolândia;2931608;-39.498845;-13.554751;BAHIA;BA
3395;Tanque Novo;2931053;-42.541142;-13.554173;BAHIA;BA
3396;São José do Rio Claro;5107305;-56.811885;-13.553418;MATO GROSSO;MT
3397;São Félix do Coribe;2929057;-44.029425;-13.551520;BAHIA;BA
3398;Jaguaquara;2917607;-39.961900;-13.545600;BAHIA;BA
3399;São Domingos;5219803;-46.486593;-13.536781;GOIAS;GO
3400;Jussiape;2918605;-41.598193;-13.518373;BAHIA;BA
3401;Paramirim;2923605;-42.257778;-13.515835;BAHIA;BA
3402;Cairu;2905404;-38.983317;-13.507976;BAHIA;BA
3403;Minaçu;5213087;-48.347964;-13.498189;GOIAS;GO
