"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3" "bio4"
"227" 1 0 -41.25 -12.25 218 113 72 1365
"228" 3 0 -71.0833333333333 -13.9166666666667 19 178 68 1843
"229" 1 0 -72.4166666666667 -3.08333333333333 261 94 84 440
"230" 3 0 -43.5833333333333 -19.75 199 116 66 1859
"231" 3 0 -50.9166666666667 -8.08333333333333 252 129 76 297
"232" 3 0 -63.75 -11.4166666666667 251 120 73 541
"233" 1 0 -39.75 -5.75 261 97 78 871
"234" 2 0 -37.75 -11.9166666666667 243 86 68 1424
"235" 1 0 -59.9166666666667 -8.58333333333333 257 114 67 445
"236" 2 0 -59.0833333333333 -20.0833333333333 252 128 63 2675
"237" 1 0 -43.0833333333333 -10.4166666666667 253 140 79 775
"238" 3 0 -52.5833333333333 -17.75 233 124 70 1337
"239" 3 0 -48.5833333333333 -17.25 234 134 69 1385
"240" 2 0 -53.4166666666667 -23.4166666666667 214 130 63 2697
"241" 3 0 -62.75 -14.25 251 126 70 1199
"242" 2 0 -62.4166666666667 -11.4166666666667 242 129 70 521
"243" 1 0 -59.4166666666667 -9.25 255 120 67 472
"244" 2 0 -70.4166666666667 -7.58333333333333 258 107 82 482
"245" 1 0 -54.25 -11.9166666666667 249 148 68 821
"246" 1 0 -48.4166666666667 -8.75 263 123 75 399
"247" 3 0 -59.0833333333333 -17.5833333333333 252 122 67 2093
"248" 1 0 -42.25 -6.41666666666666 260 116 73 938
"249" 1 0 -54.25 -18.5833333333333 250 123 68 1665
"250" 2 0 -54.75 -10.4166666666667 254 145 69 655
"251" 2 0 -42.5833333333333 -14.25 215 107 72 1224
"252" 1 0 -69.4166666666667 -1.58333333333333 257 89 89 392
"253" 2 0 -68.4166666666667 -6.08333333333333 256 103 83 350
"254" 1 0 -53.75 -6.08333333333333 251 117 78 389
"255" 1 0 -43.25 -21.4166666666667 217 120 62 2191
"256" 2 0 -51.4166666666667 -16.25 251 116 69 1031
"257" 2 0 -58.25 -10.0833333333333 251 128 67 570
"258" 3 0 -39.5833333333333 -17.9166666666667 243 79 63 1431
"259" 3 0 -39.9166666666667 -13.5833333333333 201 78 66 1305
"260" 3 0 -74.5833333333333 -14.5833333333333 80 163 78 1251
"261" 3 0 -54.9166666666667 -28.25 207 122 53 3688
"262" 1 0 -42.0833333333333 -8.25 267 138 77 1002
"263" 1 0 -38.5833333333333 -9.41666666666666 239 108 69 1762
"264" 1 0 -61.9166666666667 -15.4166666666667 241 134 69 1597
"265" 2 0 -75.75 -9.08333333333333 226 134 85 436
"266" 3 0 -58.5833333333333 -21.5833333333333 251 120 59 2986
"267" 1 0 -64.4166666666667 -4.58333333333333 266 90 84 272
"268" 2 0 -56.4166666666667 -10.0833333333333 254 137 69 634
"269" 1 0 -55.0833333333333 -28.4166666666667 208 121 53 3706
"270" 3 0 -47.0833333333333 -22.0833333333333 204 120 64 2267
"271" 1 0 -47.5833333333333 -9.41666666666666 265 123 73 492
"272" 3 0 -49.9166666666667 -15.0833333333333 241 102 68 824
"273" 3 0 -43.5833333333333 -8.91666666666666 251 130 78 666
"274" 2 0 -47.0833333333333 -19.0833333333333 214 114 68 1633
"275" 3 0 -38.5833333333333 -13.0833333333333 252 68 66 1159
"276" 2 0 -48.4166666666667 -16.5833333333333 224 122 70 1232
"277" 1 0 -53.25 -10.0833333333333 254 142 70 562
"278" 2 0 -51.25 -27.0833333333333 168 118 55 3212
"279" 3 0 -56.9166666666667 -12.25 256 136 69 968
"280" 2 0 -49.5833333333333 -21.75 216 127 64 2452
"281" 1 0 -53.25 -15.75 233 147 67 1820
"282" 3 0 -39.5833333333333 -17.4166666666667 244 83 65 1403
"283" 3 0 -50.75 -12.4166666666667 271 120 72 826
"284" 2 0 -35.9166666666667 -6.91666666666666 222 91 72 1228
"285" 2 0 -68.9166666666667 -12.25 252 112 70 1079
"286" 3 0 -67.4166666666667 -1.41666666666666 257 89 86 397
"287" 3 0 -51.75 -23.9166666666667 205 125 61 2839
"288" 3 0 -54.0833333333333 -22.25 231 117 65 1925
"289" 2 0 -36.75 -6.41666666666666 267 98 78 931
"290" 2 0 -43.4166666666667 -8.75 254 132 79 689
"291" 2 0 -42.75 -8.41666666666666 263 139 78 850
"292" 3 0 -66.9166666666667 -12.0833333333333 262 113 70 897
"293" 1 0 -44.0833333333333 -21.0833333333333 196 119 66 2009
"294" 1 0 -52.9166666666667 -8.41666666666666 250 135 73 405
"295" 2 0 -72.5833333333333 -8.75 257 106 75 591
"296" 1 0 -52.25 -24.9166666666667 182 118 60 2846
"297" 2 0 -57.0833333333333 -6.75 259 111 66 410
"298" 2 0 -53.5833333333333 -5.91666666666666 247 116 78 383
"299" 1 0 -50.0833333333333 -11.9166666666667 273 118 72 720
"300" 3 0 -47.0833333333333 -23.75 169 99 58 2318
