"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"168" 1 0 -44.4166666666667 -21.25 195 123 66
"169" 2 0 -48.5833333333333 -20.4166666666667 232 126 68
"170" 2 0 -43.75 -22.75 232 98 60
"171" 3 0 -40.9166666666667 -21.9166666666667 230 81 56
"172" 3 0 -49.4166666666667 -19.5833333333333 238 130 69
"173" 2 0 -48.4166666666667 -20.5833333333333 230 124 68
"174" 2 0 -45.25 -21.9166666666667 194 137 67
"175" 1 0 -48.0833333333333 -20.5833333333333 222 117 68
"176" 3 0 -43.9166666666667 -20.9166666666667 192 116 65
"177" 1 0 -41.9166666666667 -21.4166666666667 222 115 61
"178" 1 0 -43.4166666666667 -21.4166666666667 203 110 62
"179" 2 0 -50.5833333333333 -20.4166666666667 227 127 65
"180" 3 0 -50.0833333333333 -19.4166666666667 240 127 70
"181" 2 0 -50.75 -20.5833333333333 227 127 65
"182" 2 0 -48.75 -21.4166666666667 222 123 67
"183" 1 0 -41.9166666666667 -20.9166666666667 205 126 64
"184" 2 0 -49.75 -19.4166666666667 237 128 69
"185" 3 0 -49.5833333333333 -22.25 203 128 65
"186" 1 0 -43.0833333333333 -21.75 206 116 62
"187" 3 0 -41.4166666666667 -21.4166666666667 232 100 60
"188" 1 0 -49.0833333333333 -21.4166666666667 221 125 66
"189" 1 0 -45.0833333333333 -22.75 198 118 62
"190" 2 0 -43.0833333333333 -21.0833333333333 206 118 63
"191" 3 0 -50.25 -19.9166666666667 235 128 68
"192" 3 0 -43.25 -22.75 231 87 56
"193" 1 0 -50.25 -19.5833333333333 236 127 69
"194" 1 0 -41.0833333333333 -21.75 232 87 58
"195" 1 0 -49.75 -20.25 232 129 67
"196" 3 0 -42.75 -21.0833333333333 219 125 62
"197" 2 0 -45.5833333333333 -21.0833333333333 204 130 66
"198" 2 0 -45.25 -22.9166666666667 189 114 61
"199" 2 0 -49.9166666666667 -20.4166666666667 228 128 68
"200" 3 0 -44.0833333333333 -21.9166666666667 178 113 63
"201" 3 0 -50.0833333333333 -20.4166666666667 228 128 68
"202" 1 0 -41.5833333333333 -21.75 228 100 58
"203" 2 0 -44.75 -21.5833333333333 187 128 67
"204" 2 0 -44.25 -21.25 194 121 65
"205" 2 0 -50.25 -21.75 217 127 64
"206" 3 0 -45.4166666666667 -21.0833333333333 204 129 66
"207" 2 0 -45.5833333333333 -22.25 190 131 65
"208" 3 0 -49.5833333333333 -19.5833333333333 238 129 68
"209" 1 0 -50.25 -20.0833333333333 230 128 68
"210" 1 0 -49.4166666666667 -22.0833333333333 209 127 64
"211" 1 0 -42.25 -21.0833333333333 220 127 61
"212" 2 0 -43.0833333333333 -21.5833333333333 217 120 63
"213" 2 0 -44.25 -23.0833333333333 222 97 59
"214" 3 0 -50.4166666666667 -20.0833333333333 228 128 68
"215" 3 0 -42.25 -22.75 230 75 57
"216" 2 0 -43.25 -21.0833333333333 202 115 63
"217" 3 0 -44.75 -22.4166666666667 153 125 64
"218" 2 0 -44.5833333333333 -23.0833333333333 221 101 59
"219" 1 0 -50.25 -21.25 223 127 64
"220" 1 0 -45.4166666666667 -23.0833333333333 185 109 60
"221" 3 0 -45.25 -23.0833333333333 173 111 60
"222" 2 0 -45.5833333333333 -22.9166666666667 195 111 61
"223" 2 0 -45.4166666666667 -22.5833333333333 158 119 62
"224" 3 0 -48.4166666666667 -20.4166666666667 232 125 68
"225" 3 0 -45.25 -23.25 170 107 60
"226" 2 0 -49.9166666666667 -21.25 225 127 65
"227" 3 0 -43.4166666666667 -21.9166666666667 208 113 61
"228" 3 0 -44.4166666666667 -22.4166666666667 212 118 62
"229" 2 0 -42.5833333333333 -21.25 224 124 63
"230" 2 0 -49.75 -19.5833333333333 238 129 69
"231" 1 0 -49.0833333333333 -20.4166666666667 233 129 68
"232" 3 0 -42.75 -21.25 217 123 63
"233" 3 0 -42.5833333333333 -21.5833333333333 219 123 63
"234" 1 0 -49.4166666666667 -20.0833333333333 237 130 68
"235" 2 0 -45.0833333333333 -22.25 186 135 65
"236" 1 0 -43.0833333333333 -20.5833333333333 206 116 61
"237" 2 0 -50.75 -19.9166666666667 234 128 69
"238" 2 0 -45.25 -22.0833333333333 189 136 66
"239" 1 0 -45.0833333333333 -22.9166666666667 177 116 61
"240" 3 0 -43.4166666666667 -21.0833333333333 202 113 63
"241" 1 0 -42.0833333333333 -21.75 227 115 60
"242" 3 0 -48.75 -20.25 235 129 68
"243" 3 0 -43.25 -23.0833333333333 228 80 55
"244" 3 0 -44.9166666666667 -22.25 183 134 64
"245" 1 0 -43.9166666666667 -22.0833333333333 195 111 62
"246" 2 0 -47.9166666666667 -21.25 212 122 67
"247" 1 0 -43.9166666666667 -23.0833333333333 231 89 58
"248" 2 0 -41.5833333333333 -21.5833333333333 229 103 59
"249" 1 0 -50.0833333333333 -20.5833333333333 228 128 67
"250" 3 0 -45.25 -21.5833333333333 196 133 66
"251" 3 0 -42.5833333333333 -21.0833333333333 204 126 63
"252" 2 0 -45.9166666666667 -23.0833333333333 190 105 60
"253" 3 0 -50.75 -20.25 226 127 66
"254" 2 0 -50.0833333333333 -19.9166666666667 237 129 68
"255" 1 0 -43.5833333333333 -22.25 207 108 61
