"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"234" 2 0 -57.4166666666667 -25.9166666666667 223 113 53
"235" 1 0 -51.25 -12.75 267 124 72
"236" 2 0 -59.5833333333333 -8.91666666666667 256 118 67
"237" 1 0 -50.0833333333333 -15.5833333333333 238 102 68
"238" 3 0 -64.0833333333333 -11.25 256 117 74
"239" 3 0 -65.25 -4.25 266 90 84
"240" 2 0 -53.9166666666667 -5.75 251 114 78
"241" 3 0 -69.4166666666667 -17.4166666666667 64 176 71
"242" 2 0 -46.0833333333333 -15.9166666666667 238 134 70
"243" 1 0 -66.9166666666667 -14.75 256 108 66
"244" 2 0 -50.0833333333333 -17.0833333333333 243 115 68
"245" 1 0 -69.25 -10.75 248 111 69
"246" 1 0 -69.75 -11.0833333333333 245 115 70
"247" 3 0 -55.25 -24.75 217 116 54
"248" 1 0 -54.9166666666667 -15.25 223 130 69
"249" 1 0 -52.9166666666667 -20.5833333333333 240 119 69
"250" 2 0 -48.25 -13.5833333333333 251 110 68
"251" 2 0 -51.75 -9.75 255 133 73
"252" 1 0 -55.75 -31.5833333333333 180 121 48
"253" 2 0 -41.75 -22.4166666666667 229 85 58
"254" 1 0 -59.25 -13.5833333333333 223 135 70
"255" 1 0 -56.4166666666667 -12.9166666666667 252 137 72
"256" 2 0 -48.5833333333333 -7.08333333333333 259 115 76
"257" 2 0 -74.5833333333333 -10.0833333333333 235 124 81
"258" 3 0 -57.4166666666667 -26.75 223 114 51
"259" 3 0 -58.0833333333333 -7.41666666666667 264 112 65
"260" 3 0 -73.4166666666667 -14.75 54 168 75
"261" 3 0 -69.9166666666667 -5.25 255 103 85
"262" 1 0 -63.4166666666667 -8.58333333333333 260 102 71
"263" 1 0 -62.25 -6.91666666666667 264 100 74
"264" 1 0 -43.25 -22.4166666666667 178 96 58
"265" 2 0 -47.5833333333333 -10.25 260 124 70
"266" 3 0 -57.5833333333333 -6.41666666666667 266 106 67
"267" 1 0 -35.9166666666667 -8.91666666666667 218 81 69
"268" 2 0 -44.25 -9.75 244 136 73
"269" 1 0 -52.5833333333333 -26.75 188 129 59
"270" 3 0 -55.9166666666667 -22.5833333333333 224 118 61
"271" 1 0 -50.5833333333333 -29.9166666666667 189 88 47
"272" 3 0 -42.5833333333333 -7.75 271 130 78
"273" 3 0 -67.75 -2.58333333333333 254 91 86
