"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"113" 3 0 -62.0833333333333 -12.5833333333333 242 129 70
"114" 2 0 -50.0833333333333 -15.4166666666667 240 102 68
"115" 3 0 -43.75 -4.08333333333333 271 104 76
"116" 3 0 -67.75 -10.75 261 106 71
"117" 3 0 -65.4166666666667 -2.25 262 93 87
"118" 2 0 -68.75 -15.5833333333333 168 117 73
"119" 1 0 -48.9166666666667 -22.4166666666667 207 126 65
"120" 1 0 -44.75 -7.25 265 115 73
"121" 2 0 -40.5833333333333 -17.9166666666667 237 104 68
"122" 3 0 -69.0833333333333 -12.25 251 113 71
"123" 1 0 -61.25 -14.4166666666667 242 133 70
"124" 1 0 -51.9166666666667 -18.5833333333333 236 121 72
"125" 1 0 -54.75 -16.4166666666667 246 126 65
"126" 1 0 -57.75 -19.9166666666667 258 115 63
"127" 1 0 -52.9166666666667 -4.08333333333333 251 99 81
"128" 3 0 -49.5833333333333 -27.75 159 99 53
"129" 3 0 -38.9166666666667 -13.75 247 64 64
"130" 2 0 -53.5833333333333 -21.5833333333333 236 118 67
"131" 3 0 -53.9166666666667 -25.4166666666667 197 131 57
"132" 2 0 -43.9166666666667 -10.25 246 144 73
"133" 1 0 -44.4166666666667 -4.08333333333333 273 101 78
"134" 3 0 -38.4166666666667 -9.58333333333333 242 107 69
"135" 1 0 -61.5833333333333 -4.91666666666666 266 89 83
"136" 1 0 -52.0833333333333 -15.0833333333333 253 131 69
"137" 2 0 -57.4166666666667 -6.25 266 106 68
"138" 1 0 -44.9166666666667 -15.0833333333333 230 134 70
"139" 2 0 -57.0833333333333 -8.91666666666666 259 127 66
"140" 2 0 -38.25 -11.75 232 87 67
"141" 3 0 -61.9166666666667 -15.4166666666667 241 134 69
"142" 3 0 -51.25 -20.5833333333333 231 124 66
"143" 1 0 -53.25 -14.4166666666667 236 143 70
"144" 1 0 -44.5833333333333 -11.5833333333333 246 152 69
"145" 1 0 -51.25 -6.91666666666666 251 125 79
"146" 2 0 -54.0833333333333 -8.08333333333333 247 134 72
"147" 3 0 -36.25 -5.75 248 87 74
"148" 3 0 -73.25 -9.25 259 110 77
"149" 1 0 -39.4166666666667 -8.58333333333333 252 106 70
"150" 3 0 -66.75 -2.41666666666666 257 92 85
"151" 1 0 -47.25 -9.58333333333333 261 124 72
"152" 1 0 -55.5833333333333 -4.58333333333333 260 101 80
"153" 2 0 -53.0833333333333 -25.5833333333333 187 135 58
"154" 2 0 -41.0833333333333 -3.91666666666666 225 115 79
"155" 3 0 -50.4166666666667 -5.75 255 109 82
"156" 1 0 -44.0833333333333 -2.58333333333333 270 78 82
"157" 2 0 -48.4166666666667 -9.41666666666666 267 122 73
"158" 2 0 -45.5833333333333 -3.41666666666666 272 98 82
"159" 3 0 -40.9166666666667 -12.0833333333333 212 107 72
"160" 3 0 -54.4166666666667 -26.9166666666667 189 130 57
"161" 2 0 -43.4166666666667 -13.4166666666667 253 128 75
"162" 2 0 -62.75 -9.25 255 109 70
"163" 1 0 -60.0833333333333 -7.25 259 105 70
"164" 3 0 -49.9166666666667 -4.25 270 103 87
"165" 1 0 -43.5833333333333 -14.5833333333333 241 124 72
"166" 1 0 -62.0833333333333 -12.25 235 130 71
"167" 2 0 -52.25 -16.75 239 126 70
"168" 3 0 -49.75 -3.91666666666666 270 104 87
"169" 2 0 -48.75 -6.91666666666666 261 114 76
"170" 2 0 -44.25 -14.9166666666667 231 128 70
"171" 1 0 -69.75 -5.58333333333333 255 103 85
"172" 2 0 -40.4166666666667 -6.08333333333333 251 102 77
"173" 3 0 -42.5833333333333 -13.9166666666667 212 109 73
"174" 1 0 -72.5833333333333 -8.75 257 106 75
"175" 3 0 -41.5833333333333 -10.25 237 123 76
"176" 1 0 -72.5833333333333 -3.58333333333333 261 95 84
"177" 1 0 -66.75 -12.5833333333333 263 114 71
"178" 2 0 -56.4166666666667 -21.5833333333333 235 117 61
