"group.all" "pa" "lon" "lat" "bio1" "bio2"
"106" 1 0 -41.0833333333333 -11.5833333333333 202 98
"107" 3 0 -58.25 -26.75 222 108
"108" 2 0 -72.4166666666667 -7.25 255 99
"109" 3 0 -56.0833333333333 -8.58333333333333 246 131
"110" 3 0 -51.25 -21.25 225 124
"111" 1 0 -42.25 -13.4166666666667 228 122
"112" 3 0 -65.5833333333333 -16.0833333333333 254 111
"113" 3 0 -66.9166666666667 -9.08333333333333 259 110
"114" 2 0 -70.9166666666667 -13.9166666666667 18 178
"115" 3 0 -48.0833333333333 -10.5833333333333 254 123
"116" 3 0 -52.9166666666667 -30.4166666666667 188 96
"117" 3 0 -73.4166666666667 -13.0833333333333 199 157
"118" 2 0 -73.0833333333333 -7.41666666666666 255 101
"119" 1 0 -54.5833333333333 -14.75 227 135
"120" 1 0 -63.5833333333333 -7.58333333333333 263 102
"121" 2 0 -73.4166666666667 -9.58333333333333 257 113
"122" 3 0 -50.0833333333333 -18.4166666666667 249 123
"123" 1 0 -51.75 -16.0833333333333 256 120
"124" 1 0 -45.25 -14.5833333333333 230 129
"125" 1 0 -72.0833333333333 -13.4166666666667 98 158
"126" 1 0 -55.9166666666667 -15.9166666666667 261 116
"127" 1 0 -41.5833333333333 -16.25 214 116
"128" 3 0 -64.5833333333333 -17.4166666666667 227 117
"129" 3 0 -71.0833333333333 -16.75 150 156
"130" 2 0 -58.4166666666667 -26.25 221 122
"131" 3 0 -45.0833333333333 -17.75 233 134
"132" 2 0 -39.0833333333333 -8.25 238 105
"133" 1 0 -76.25 -8.91666666666666 237 126
"134" 3 0 -54.4166666666667 -8.58333333333333 251 137
"135" 1 0 -52.5833333333333 -10.9166666666667 256 139
"136" 1 0 -69.75 -8.08333333333333 254 113
"137" 2 0 -48.25 -24.9166666666667 185 88
"138" 1 0 -43.0833333333333 -2.41666666666666 272 86
"139" 2 0 -51.0833333333333 -18.25 238 119
"140" 2 0 -38.75 -7.08333333333333 254 104
"141" 3 0 -54.5833333333333 -8.75 250 139
"142" 3 0 -37.0833333333333 -7.75 226 92
"143" 1 0 -57.4166666666667 -8.58333333333333 261 123
"144" 1 0 -63.5833333333333 -14.0833333333333 255 123
"145" 1 0 -53.25 -6.91666666666666 247 125
"146" 2 0 -56.5833333333333 -6.41666666666666 257 111
"147" 3 0 -40.75 -10.5833333333333 225 111
"148" 3 0 -41.75 -9.25 259 128
"149" 1 0 -43.0833333333333 -13.5833333333333 241 124
"150" 3 0 -56.5833333333333 -11.25 252 138
"151" 1 0 -63.9166666666667 -13.5833333333333 258 123
"152" 1 0 -70.25 -4.75 258 101
"153" 2 0 -41.0833333333333 -14.75 219 103
"154" 2 0 -63.75 -13.4166666666667 257 123
"155" 3 0 -75.25 -9.25 258 117
"156" 1 0 -48.9166666666667 -28.5833333333333 199 78
"157" 2 0 -48.25 -21.25 219 121
"158" 2 0 -57.5833333333333 -26.4166666666667 223 113
"159" 3 0 -60.0833333333333 -13.9166666666667 236 133
"160" 3 0 -46.4166666666667 -10.25 247 132
"161" 2 0 -57.5833333333333 -28.75 207 118
"162" 2 0 -64.0833333333333 -6.41666666666666 264 97
"163" 1 0 -62.5833333333333 -16.9166666666667 245 119
"164" 3 0 -73.5833333333333 -15.4166666666667 83 168
